Year,Favorite Seed,Favorite Name,Favorite Score,Underdog Seed,Underdog Name,Underdog Score
,,,,,,
2023,1,Alabama,96,16,Texas A&M-CC,75
2023,1,Purdue,58,16,Fairleigh Dickinson,63
2023,1,Kansas,96,16,Howard,68
2023,1,Houston,63,16,N. Kentucky,52
2022,1,Gonzaga,93,16,Georgia St.,72
2022,1,Baylor,85,16,Norfolk St. ,49
2022,1,Kansas,83,16,Texas Southern,56
2022,1,Arizona,87,16,Wright St.,70
2021,1,Gonzaga,98,16,Norfolk St.,55
2021,1,Michigan,82,16,Texas Southern,66
2021,1,Illinois,78,16,Drexel,49
2021,1,Baylor,79,16,Hartford,55
2019,1,Duke,85,16,N. Dakota St.,62
2019,1,Gonzaga,87,16,Fairleigh Dickinson,49
2019,1,UNC,80,16,Iona,73
2019,1,Virginia,71,16,Gardner-Webb,56
2018,1,Virginia,54,16,UMBC,74
2018,1,Xavier,102,16,Texas Southern,83
2018,1,Villanova,87,16,Radford,61
2018,1,Kansas,76,16,Penn,60
2017,1,Villanova,76,16,Mt. St. Mary's,56
2017,1,Gonzaga,66,16,S. Dakota St.,46
2017,1,Kansas,100,16,UC Davis,62
2017,1,UNC,103,16,Texas Southern,64
2016,1,Kansas,105,16,Austin Peay,79
2016,1,UNC,83,16,FGCU,67
2016,1,Virginia,81,16,Hampton,45
2016,1,Oregon,91,16,Holy Cross,52
2023,2,Arizona,55,15,Princeton,59
2023,2,Marquette,78,15,Vermont,61
2023,2,UCLA,86,15,UNC Asheville,53
2023,2,Texas,81,15,Colgate,61
2022,2,Duke,78,15,Cal St. Fullerton,61
2022,2,Kentucky,79,15,St. Peter's,85
2022,2,Auburn,80,15,Jacksonville St.,61
2022,2,Villanova,80,15,Delaware,60
2021,2,Iowa,86,15,Grand Canyon,74
2021,2,Alabama,68,15,Iona,55
2021,2,Houston,87,15,Cleveland St.,56
2021,2,Ohio St.,72,15,Oral Roberts,75
2019,2,Michigan St.,76,15,Bradley,65
2019,2,Michigan,74,15,Montana,55
2019,2,Kentucky,79,15,Abilene Christian,44
2019,2,Tennessee,77,15,Colgate,70
2018,2,Cincinnati,68,15,Georgia St.,53
2018,2,North Carolina,84,15,Lipscomb,66
2018,2,Duke,89,15,Iona,67
2018,2,Purdue,74,15,Cal St. Fullerton,48
2017,2,Duke,87,15,Troy,65
2017,2,Arizona,100,15,North Dakota,82
2017,2,Kentucky,79,15,Northern Kentucky,70
2017,2,Louisville,78,15,Jacksonville St.,63
2016,2,Villnanova,86,15,UNC Asheville,56
2016,2,Oklahoma,82,15,Cal State Bakersfield,68
2016,2,Michigan St.,81,15,Middle Tennessee State,90
2016,2,Xavier,71,15,Weber St.,53
2023,3,Baylor,74,14,UCSB,56
2023,3,Kansas St.,77,14,Montana St. ,65
2023,3,Gonzaga,82,14,Grand Canyon,70
2023,3,Xavier,72,14,Kennesaw St. ,67
2022,3,Texas Tech,97,14,Montana St.,62
2022,3,Purdue,78,14,Yale,56
2022,3,Wisconsin,67,14,Colgate,60
2022,3,Tennessee,88,14,Longwood,56
2021,3,Kansas,93,14,Eastern Washington,84
2021,3,Texas,52,14,Abilene Christian,53
2021,3,West Virginia,84,14,Morehead St.,67
2021,3,Arkansas,85,14,Colgate,68
2019,3,LSU,79,14,Yale,74
2019,3,Texas Tech,72,14,N. Kentucky,57
2019,3,Houston,84,14,Georgia St.,55
2019,3,Purdue,61,14,Old Dominion,48
2018,3,Tennessee,73,14,Wright St.,47
2018,3,Michigan,61,14,Montana,47
2018,3,Michigan St.,82,14,Bucknell,78
2018,3,Texas Tech,70,14,Stephen F. Austin,60
2017,3,Baylor,91,14,New Mexico St.,73
2017,3,Florida St.,86,14,FGCU,80
2017,3,UCLA,97,14,Kent State,80
2017,3,Oregon,93,14,Iona,77
2016,3,Miami,79,14,Buffalo,72
2016,3,Texas A&M,92,14,Green Bay,65
2016,3,Utah,80,14,Fresno State,89
2016,3,West Virginia,56,14,Stephen F. Austin,70
2023,4,Virginia,67,13,Furman,68
2023,4,Tennessee,58,13,Louisiana,55
2023,4,UConn,87,13,Iona,63
2023,4,Indiana,71,13,Kent. St,60
2022,4,Arkansas,75,13,Vermont,71
2022,4,UCLA,57,13,Akron,53
2022,4,Providence,66,13,S. Dakota St.,57
2022,4,Illinois,54,13,Chattanooga,53
2021,4,Virginia,58,13,Ohio,62
2021,4,Florida St.,64,13,UNC Greensboro,54
2021,4,Oklahoma St.,69,13,Liberty ,60
2021,4,Purdue,69,13,North Texas,78
2019,4,Virginia Tech,66,13,Saint Louis,52
2019,4,Florida St.,76,13,Vermont,69
2019,4,Kansas,87,13,Northeastern,53
2019,4,Kansas St.,64,13,UC Irvine,70
2018,4,Arizona,68,13,Buffalo,89
2018,4,Gonzaga,68,13,UNC Greensboro,64
2018,4,Auburn,62,13,College of Charleston,58
2018,4,Wichita St.,75,13,Marshall,81
2017,4,Florida,80,13,Eastern Tennssee State,65
2017,4,West Virginia,86,13,Bucknell,80
2017,4,Butler,76,13,Wintrhop,64
2017,4,Purdue,80,13,Vermont,70
2016,4,California,66,13,Hawaii,77
2016,4,Duke,93,13,UNC Wilimington,85
2016,4,Iowa State,94,13,Iona,81
2016,4,Kentucky,85,13,Stony Brook,57
2023,5,San Diego St.,63,12,College of Charleston,57
2023,5,Duke,74,12,Oral Roberts,51
2023,5,Saint Mary's ,63,12,VCU,51
2023,5,Miami,63,12,Drake,56
2022,5,UConn,63,12,New Mexico St.,70
2022,5,Saint Mary's,82,12,Indiana,53
2022,5,Iowa,63,12,Richmond,67
2022,5,Houston,82,12,UAB,68
2021,5,Creighton,63,12,UCSB,62
2021,5,Colorado,96,12,Georgetown,73
2021,5,Tennessee,56,12,Oregon St. ,70
2021,5,Villanova,73,12,Winthrop,63
2019,5,Mississippi St.,76,12,Liberty,80
2019,5,Marquette,64,12,Murray St.,83
2019,5,Auburn,78,12,New Mexico St.,77
2019,5,Wisconsin,54,12,Oregon,72
2018,5,Kentucky,78,12,Davidson,73
2018,5,Ohio St.,81,12,South Dakota St.,73
2018,5,Clemson,79,12,New Mexico St.,68
2018,5,West Virginia,85,12,Murray St.,68
2017,5,Virginia,76,12,UNC Wilmington,71
2017,5,Notre Dame,60,12,Princeton,58
2017,5,Minnesota,72,12,Middle Tennessee State,81
2017,5,Iowa State,84,12,Nevada,73
2016,5,Maryland,79,12,South Dakota State,74
2016,5,Baylor,75,12,Yale,79
2016,5,Purdue,83,12,Little Rock,85
2016,5,Indiana,99,12,Chattanooga,74
